SapCode ,SPU Id ,ML Exclusion,Month,ML Forecast,Global Lag 0 PBU Consensus FC,Shipped Units
ABC,REBDC000AE,Y,3,0,0,0
ABC,REBOND00GB,Y,3,38,172,7
ABC,RECD0000NO,Y,3,0,0,0
ABC,REDELTICDE,Y,3,239,180,194
ABC,REDELTICFR,Y,3,278,120,110
ABC,REDIRECTZA,N,3,0,0,0
ABC,REDISTRIFR,N,3,113,97,108
ABC,REECOMFR1C,Y,3,1,5,0
ABC,REENIS00PL,Y,3,65,84,111
ABC,REEQUITYDE,N,3,746,1284,1268
ABC,REETEL00GB,Y,3,103,108,77
ABC,REEXPORTRU,Y,3,0,0,0
ABC,REFINTYRIT,N,3,115,42,169
ABC,REFSD000DE,N,3,0,0,0
ABC,REGB2000GB,Y,3,81,115,35
ABC,REGDHSOTDE,N,3,1050,1202,1296
ABC,REGROUPPGB,N,3,38,16,21
ABC,REGRUPO0ES,N,3,0,0,0
ABC,REKEYAC0GB,N,3,0,0,0
ABC,REKRANJIIT,N,3,93,25,32
ABC,REMODISTCZ,N,3,0,0,0
ABC,REMORET0CZ,N,3,0,0,0
ABC,RENORAUTES,Y,3,69,28,31
ABC,REPUBLICGR,N,3,0,0,0
ABC,RESELLTHCZ,N,3,107,82,122
ABC,RESELLTHHU,N,3,17,14,29
ABC,RESELLTHSK,N,3,12,10,23
ABC,RESSA000ZA,N,3,0,0,0
ABC,RESSA001ZA,N,3,0,0,0
ABC,RESSA002ZA,N,3,0,0,0
ABC,RESSA003ZA,N,3,0,0,0
ABC,RESSA004ZA,N,3,0,0,0
ABC,RESSA005ZA,N,3,0,0,0
ABC,RESSA006ZA,N,3,0,0,0
ABC,RESSA007ZA,N,3,0,0,0
ABC,RESSA008ZA,N,3,0,0,0
ABC,RESSA009ZA,N,3,0,0,0
ABC,REWHOLESDE,N,3,1969,1102,288
ABC,REWHOLESFR,N,3,0,0,0
ABC,REWHTYSYDE,Y,3,325,210,192
ABC,REZ29000ZA,N,3,0,0,0
ABC,REZ38000B1,N,3,0,0,0
